test_code,qc_code,date,analyte,value
PATY,C-PATY1,12/2/2021,phe,46.61210654
PATY,C-PATY2,12/2/2021,phe,504.4430993
PATY,C-PATY3,12/2/2021,phe,1423.389831
PATY,C-PATY1,12/3/2021,phe,45.28256659
PATY,C-PATY2,12/3/2021,phe,439.5302663
PATY,C-PATY3,12/3/2021,phe,1462.493947
PATY,C-PATY1,12/4/2021,phe,45.20435835
PATY,C-PATY2,12/4/2021,phe,449.6973366
PATY,C-PATY3,12/4/2021,phe,1517.239709
PATY,C-PATY1,12/5/2021,phe,47.70702179
PATY,C-PATY2,12/5/2021,phe,444.2227603
PATY,C-PATY3,12/5/2021,phe,1525.060533
PATY,C-PATY1,12/8/2021,phe,45.59539952
PATY,C-PATY2,12/8/2021,phe,468.4673123
PATY,C-PATY3,12/8/2021,phe,1376.464891
PATY,C-PATY1,12/9/2021,phe,49.34939467
PATY,C-PATY2,12/9/2021,phe,455.9539952
PATY,C-PATY3,12/9/2021,phe,1345.181598
PATY,C-PATY1,12/10/2021,phe,47.31598063
PATY,C-PATY2,12/10/2021,phe,443.440678
PATY,C-PATY3,12/10/2021,phe,1407.748184
PATY,C-PATY1,12/11/2021,phe,51.22639225
PATY,C-PATY2,12/11/2021,phe,408.2469734
PATY,C-PATY3,12/11/2021,phe,1337.360775
PATY,C-PATY1,12/12/2021,phe,43.17094431
PATY,C-PATY2,12/12/2021,phe,432.4915254
PATY,C-PATY3,12/12/2021,phe,1384.285714
PATY,C-PATY1,12/15/2021,phe,45.36077482
PATY,C-PATY2,12/15/2021,phe,468.4673123
PATY,C-PATY3,12/15/2021,phe,1431.210654
PATY,C-PATY1,12/16/2021,phe,45.83002421
PATY,C-PATY2,12/16/2021,phe,455.9539952
PATY,C-PATY3,12/16/2021,phe,1337.360775
PATY,C-PATY1,12/17/2021,phe,46.37748184
PATY,C-PATY2,12/17/2021,phe,426.2348668
PATY,C-PATY3,12/17/2021,phe,1415.569007
PATY,C-PATY1,12/18/2021,phe,52.08668281
PATY,C-PATY2,12/18/2021,phe,467.68523
PATY,C-PATY3,12/18/2021,phe,1493.77724
PATY,C-PATY1,12/19/2021,phe,53.72905569
PATY,C-PATY2,12/19/2021,phe,471.5956416
PATY,C-PATY3,12/19/2021,phe,1540.702179
PATY,C-PATY1,12/22/2021,phe,45.51719128
PATY,C-PATY2,12/22/2021,phe,466.9031477
PATY,C-PATY3,12/22/2021,phe,1368.644068
PATY,C-PATY1,12/23/2021,phe,44.50048426
PATY,C-PATY2,12/23/2021,phe,427.0169492
PATY,C-PATY3,12/23/2021,phe,1415.569007
PATY,C-PATY1,12/26/2021,phe,50.44430993
PATY,C-PATY2,12/26/2021,phe,444.2227603
PATY,C-PATY3,12/26/2021,phe,1532.881356
PATY,C-PATY1,12/29/2021,phe,47.2377724
PATY,C-PATY2,12/29/2021,phe,460.6464891
PATY,C-PATY3,12/29/2021,phe,1353.002421
PATY,C-PATY1,12/30/2021,phe,46.61210654
PATY,C-PATY2,12/30/2021,phe,451.2615012
PATY,C-PATY3,12/30/2021,phe,1423.389831
PATY,C-PATY1,1/1/2022,phe,47.62881356
PATY,C-PATY2,1/1/2022,phe,460.6464891
PATY,C-PATY3,1/1/2022,phe,1423.389831
PATY,C-PATY1,1/2/2022,phe,46.37748184
PATY,C-PATY2,1/2/2022,phe,484.8910412
PATY,C-PATY3,1/2/2022,phe,1329.539952
PATY,C-PATY1,1/5/2022,phe,46.53389831
PATY,C-PATY1,1/5/2022,phe,46.69031477
PATY,C-PATY2,1/5/2022,phe,436.401937
PATY,C-PATY3,1/5/2022,phe,1360.823245
PATY,C-PATY3,1/5/2022,phe,1454.673123
PATY,C-PATY1,1/6/2022,phe,44.73510896
PATY,C-PATY2,1/6/2022,phe,425.4527845
PATY,C-PATY3,1/6/2022,phe,1540.702179
PATY,C-PATY1,1/7/2022,phe,50.91355932
PATY,C-PATY2,1/7/2022,phe,471.5956416
PATY,C-PATY3,1/7/2022,phe,1446.8523
PATY,C-PATY1,1/8/2022,phe,46.92493947
PATY,C-PATY2,1/8/2022,phe,491.9297821
PATY,C-PATY3,1/8/2022,phe,1548.523002
PATY,C-PATY1,1/9/2022,phe,49.97506053
PATY,C-PATY2,1/9/2022,phe,473.9418886
PATY,C-PATY3,1/9/2022,phe,1399.927361
PATY,C-PATY1,1/12/2022,phe,51.77384988
PATY,C-PATY2,1/12/2022,phe,478.6343826
PATY,C-PATY3,1/12/2022,phe,1392.106538
PATY,C-PATY1,1/13/2022,phe,48.41089588
PATY,C-PATY2,1/13/2022,phe,443.440678
PATY,C-PATY3,1/13/2022,phe,1329.539952
PATY,C-PATY1,1/14/2022,phe,55.84067797
PATY,C-PATY2,1/14/2022,phe,461.4285714
PATY,C-PATY3,1/14/2022,phe,1368.644068
PATY,C-PATY1,1/15/2022,phe,51.53922518
PATY,C-PATY2,1/15/2022,phe,418.4140436
PATY,C-PATY3,1/15/2022,phe,1370
PATY,C-PATY1,1/16/2022,phe,49.11476998
PATY,C-PATY2,1/16/2022,phe,424.6707022
PATY,C-PATY3,1/16/2022,phe,1370
PATY,C-PATY1,1/19/2022,phe,46.768523
